recipe_id,title,ingredients,reference,prediction,method
25,Blueberry Lemon Pound Cake Recipe,1/3 c. lowfat milk 6 lrg Large eggs 1 1/2 Tbsp. vanilla 2 2/3 c. all-purpose flour 1 tsp double-acting baking pwdr 1 1/4 tsp salt 3 stk unsalted butter softened (1 1/2 c.) 1/2 c. granulated sugar 3/4 c. firmly packed light brown sugar 1/4 c. freshly grated lemon zest 3 c. picked over blueberries tossed with 1 1/2 Tbsp. flour 1/3 c. fresh lemon juice 1/2 c. granulated sugar,"Make the cake:In a small bowl whisk together the lowfat milk, the Large eggs, and the vanilla. Into a bowl sift together the flour, the baking pwdr, and the salt. In a large bowl with an electric mixer cream the butter with the granulated sugar, the brown sugar, and the zest till the mix is light and fluffy, add in the flour mix alternately with the egg mix, beginning and ending with the flour mix and beating the batter after each addition till it is just combined, and mix in 1 1/2 c. of the blueberries. Spoon one third of the batter into a greased and floured 10-inch (3-qt) bundt pan, spreading it proportionately, and sprinkle 1/2 c. of the remaining blueberries over it. Spoon half the remaining batter into the pan, spreading it proportionately, and sprinkle 1/2 c. of the remaining blueberries over it. Spoon the remaining batter into the pan, spreading it proportionately, sprinkle the remaining blueberries over it, and bake the cake in the middle of a preheated 350A degrees F. oven for 1 hour to 1 hour and 10 min, or possibly till it is golden brown and a tester comes out clean. Remove the cake from the oven, poke the top immediately all over with a wooden skewer, and brush it with half the syrup. Let the cake cold in the pan on a rack for 10 min, invert it onto the rack, and poke it all over with the skewer. Brush the cake with the remaining syrup. Make the syrup while the cake is baking: In a small saucepan combine the lemon juice and the sugar, bring the mix to a boil, stirring till the sugar is dissolved, and remove the pan from the heat. One 10-inch bundt cake.",Spray a 9 x 13-inch baking pan. Cover with waxed paper. Cover and bake at 350 degrees until cut. Cool on wire rack for 20 minutes.,finetuned_top_p
26,Vampire Kiss Martini,"1 part vodka, chilled 1 part Champagne 1 part Chambord Garnish with wax teeth/candy corn/blood orange slice","Pour vodka in a martini glass, top with Champagne and pour a little of the Chambord over the back of a spoon to make it float.","Use a fork to scrape the whiskey from the bottoms of martini bottles. If necessary serve with a pastry or both. Strain off all the whiskey. Add Champagne, Champagne red wine, red wine garnish with corn/cherry shards and maraschino cherries and pour over the martini. Spread over a plate and garnish, garnishing with corn, cassis, and cross and semi-flavored grape essence. Make the Italian section. Mix up the rest of the ingredients. Pour over the underlined dish, pouring the liquid over the meat and adding dried horseradish. Serve immediately, eating in a chilled cellars under slightly shady sunlight.",finetuned_top_p
27,Marinated Cucumbers,"1/4 c. water 1 Tbsp. sugar 3 Tbsp. vinegar 2 tsp. salad oil 1/4 tsp. dried basil, crushed 1/8 tsp. pepper several dashes of bottled hot pepper sauce 2 medium cucumbers, thinly sliced (about 3 c.) 1 small onion, thinly sliced 1/2 c. sliced radishes 4 lettuce leaves (optional)","In a medium mixing bowl, stir together the first 7 ingredients. Add cucumbers and onion; toss to coat. Cover and refrigerate for 2 to 24 hours.","Mix the water, sugar and vinegar. Add the cucumbers and radishes and toss well. Cover and refrigerate overnight. Drain the lettuce leaves. Dump the sauce and dip the cucumber in the hot sauce. Drain. Add water to the mixture and toss in the basil and pepper. Dip in the salad oil and toss. Repeat with the lettuce, and toss with the radishes. Dip the tomatoes in the oil, toss them with the salad itself and toss again. Stir everything together. Serve at room temperature.",finetuned_top_p
28,Tortilla Soup,"3 Tablespoons Oil 2 cups Chopped Onion 2 cups Chopped Carrots 1 cup Chopped Celery 4 cloves Garlic, Finely Chopped 8 cups Chicken Broth 1 can (28 Oz. Can) Crushed Tomatoes 2 cans (4 Oz. Can) Chopped Green Chiles 1-1/2 teaspoon Ground Cumin 1-1/2 teaspoon Chili Powder 1 teaspoon Ground Coriander 1 Tablespoon Kosher Salt 1-1/2 teaspoon Freshly Ground Black Pepper 4 whole Boneless, Skinless Chicken Breasts 3 cups Crushed Tortilla Chips","Heat oil in a large pot or Dutch oven set over medium heat. Add the onions, carrots and celery and cook, stirring frequently, until the onions start to brown. Add the garlic and cook for another 30 seconds. Add the chicken broth, tomatoes, chiles, cumin, chili powder, coriander, salt (depending on the saltiness of the chicken broth) and pepper. Submerge chicken breasts completely in the liquid. Bring the soup to a boil, then lower the heat and simmer, uncovered, for 30 minutes. Remove the chicken and shred with two forks. Add the shredded chicken back to the pot along with the chips and simmer, uncovered, for another 20 minutes. Re-season to taste with salt and pepper. Serve hot with selected garnishes: scallions/chives, shredded cheese, sour cream, salsa, avocado.","Heat oil in a large skillet. Add onions and carrots and cook on low for 1 minute. Add carrots and stir until vegetables are tender. Remove the meat from pan. Cook, uncovered, about 15 minutes. Remove skillet from heat and add garlic, onion, chiles and celery. Cook until vegetables add to the veggies, about 4 minutes, until onions are slightly browned and onion is fully chopped. Add half of the green chiles to vegetables. Season with salt and pepper. Add tomatoes and cook for 5 minutes until tomatoes are slightly saucy, turning once or twice per hour. When vegetables are slightly caramelized, add salt and garlic to taste. Stir in grated Parmesan cheese and brown until golden and slightly crumbly, about 10 minutes. Serve hot with remaining tort",finetuned_top_p
29,Creamy Tomato Basil Soup With Cheddar Croűte,"4 cups (32 ounces) boxed tomato or tomato-herb soup 4 cup slices ry bread, each cut into 4-inch rounds and toasted 1 ounce part-skim sharp cheddar cheese, but into 4 slices 3 tablespoons reduced-fat sour cream 1/4 cup chopped fresh basil 1/2 teaspoon freshly ground black pepper Chopped fresh basil (optional)","Preheat oven to 350°. Place the soup in a large saucepan; bring to a boil. Reduce heat to low; cover and keep warm. While the soup is heating, top each toasted bread round with 1 cheese slice; place on a baking pan. Bake in middle of oven until cheese is melted (about 5 minutes). Add the sour cream and basil to soup. Ladle soup into bowls; top with toasts. Sprinkle with pepper and garnish with basil, if desired. Serve immediately.","Mix tomato soup and turkey. Drain 4 cups shredded cheddar, discard cut tomato and stir in half of sliced bread. Use aside to smooth over crook and gravy. Put all the tomato soup, turkey, basil and garlic into a saucepan over low heat. Simmer the hot soup to about 50 minutes or until the soup is tender. Whisk the salt, pepper, herbs and zest in the soup mixture and season with salt and pepper. Season well with olive oil. Reserve water, slightly soak for at least 10 minutes to reduce heat. Meanwhile, divide the soup into 6 pieces and boil 2 minutes. Remove chicken broth and cut into 1/3-inch slices. Season with salt, cumin and oregano, and remaining ½ teaspoon ground black peppercorns. Store cooked",finetuned_top_p
30,Chess Bars,1 egg 1 stick butter 1 box yellow cake mix with pudding 3 eggs 8 oz. cream cheese 1 box powdered sugar,"Mix egg, butter and cake mix; this will be very stiff so you will need to pat into pan. Beat eggs and cream cheese and powdered sugar until smooth; pour on top of first mixture in pan. Bake at 300° for 60 minutes. Let cool and cut into squares.","Mix egg, butter and cream cheese until smooth. Add cake mix and the pudding. Mix in egg mixture. Then mix in powdered sugar and mix in pudding mixture. Combine sugar and butter in pan. Spoon batter into first 16 egg and roll out on a greased paper cookie sheet. Bake for 45 minutes at 350°. Cool completely before serving.",finetuned_top_p
31,Crazed Chocolate Biscuits,"125 g dark chocolate, finely chopped 23 cup plain flour 14 cup cocoa powder 1 teaspoon baking powder 1 pinch salt 60 g unsalted butter, at room temp 34 cup packed light brown sugar 1 egg, large 12 teaspoon vanilla extract 2 tablespoons milk 12 cup caster sugar 12 cup icing sugar","Melt the chocolate in the microwave (750 power) on low, or in a basin over hot water. Stir until chocolate is melted, then cool. Sift the flour, cocoa, salt and baking powder together. Beat the butter and brown sugar together until light and fluffy. Add the egg and vanilla, and mix well. Mix in the cooled melted chocolate. Reduce speed to low and add the flour mixture in two batches, alternating with the milk. Wrap the dough in cling wrap and refigerate until the dough is firm. (This will take at least 2 hours). When about to bake, preheat the oven to 175c (fan forced 155c). Line the trays with baking paper. Roll the dough into 2-5cm balls and roll in the caster sugar to coat then. toss the balls in the icing sugar and place balls on the lined trays about 5cm apart. Bake biscuits fior about 15 minutes or until the surfaces crack. Remove from oven and cool on tray.","Beat dry ingredients in a large bowl. Add flour, baking powder and salt, and stir well until incorporated. Gradually add chocolate mix. Fold in in butter mixture, and refrigerate until ready to use.",finetuned_top_p
32,Icee Delights,1 tsp. any flavor Kool-Aid 2 tsp. sugar 4 oz. water 6 oz. ginger ale crushed ice,Mix Kool-Aid and sugar. Add water and stir thoroughly. Add ginger ale and stir again. Pour into	blender. Add crushed ice and blend on high until ice is thoroughly blended. Enjoy!,Heat oven to 375°. Add water to ice. Place icee in a blender. Reduce heat to low and add ginger ale. Add icee mixture and ginger ale mixture and blend until smooth. Pour into ice container. Bake 30 minutes at 350°.,finetuned_top_p
33,Pira Caldo,"2 Tablespoons Olive Oil, Or As Needed 1 whole Green Bell Pepper, Cubed 1 bulb Leek, Sliced Into 1/4 Inch Rings 3 stalks Celery, Diced 2 whole Medium Yellow Onions, Diced 2 whole Medium-sized Carrots, Cubed 1/2 cups Snap Peas (optional) 2 Red Chili Peppers, Deseeded To Your Desired Level Of Added Spicy (optional) 1 leaf Bay Leaf 1 pound Surubi Fillets (or Another White River Fish Equivalent, Like Flounder) 1 cup White Wine 1 cup Water, Or More As Needed 1 can (about 13 1/2 Oz. Size) Full-fat Coconut Milk 2 Tablespoons Tomato Paste 3 whole Plum Tomatoes, Peeled And Diced 1 cup Shredded Paraguayan Cheese (or Similar Soft White Cheese Like Mozzarella) 4 sprigs Cilantro, Chopped (optional)","Bring a large stockpot over high heat and add olive oil. Once olive oil is heated, add bell peppers, leeks, celery, onions, carrots, snap peas, chili peppers and bay leaf. Reduce stove to medium-high heat to saute and soften the vegetables for 8-10 minutes. As the vegetables start to sweat, place fillets on top of the vegetables and cover the stockpot. Let sit covered for about 5 minutes, stirring occasionally and ever so delicately to keep vegetables from sticking to bottom. After 5 minutes, the fish will have been steamed and will begin to flake. At this point, pour in white wine to deglaze bottom of pot. Begin to stir around for 1-2 minutes and flake the fish apart. Add water and stir around for another minute. Add coconut milk, tomato paste, and tomatoes (with their juice) to stockpot. Stir around for 1-2 minutes. If all ingredients are not yet submerged in your stockpot or you'd like to make more servings of the soup, add up to another cup of water. Finally, add shredded cheese and cilantro (optional) and turn off heat. Stir thoroughly as cheese melts into soup. Serve hot. Recipe from (translated and adapted by) Tembi'u Paraguay.","Prepare all ingredients and mix together until smooth, 1/3 Inches per lb., remove from heat, rinse with cold water, and coat 1 inch deep. Add olive oil, water, squash root, parsley, salt and pepper, and set aside. Add mint leaves and pineapple, cover, turn off heat. Pour into bowl. Top with water and Parmesan cheese. Sprinkle generously with chopped parsley. Repeat with remaining pasta, noodles, canned steaks, pickles, if desired. Stir until all noodles are fully cooked and sauce thickens. Top lightly with remaining sauce. Serve in a large bowl with crushed avocado. Recipe Notes: Reserve 3 cups Worcestershire sauce or brandy for your next mousse or swerve for filling.",finetuned_top_p
34,Cranberry Punch,1 qt. fresh cranberries 1 qt. water 1 c. sugar 5 whole cloves 1 tsp. grated lemon rind 1 tsp. grated orange rind 2 Tbsp. lemon juice thin slices orange,"Cook cranberries and water in a covered kettle until their skin pops. Puree berries. Add sugar, cloves and rinds. Stir thoroughly. Chill. Add the lemon and apple juices. Stir to blend. Serve immediately. Garnish with thin slices of orange. Makes 2 1/2 quarts.","Combine cranberries, water, sugar, lemon juice and orange rond. Mix well.",finetuned_top_p
35,Crispy Saffron Rice (Tahdig),"1-1/2 cup Basmati Rice 3 quarts Water, Plus Salted Water For Soaking Rice 4 whole Threads Saffron, Divided 2 Tablespoons Salted Butter, Divided","1. Soak rice in salted water for 1 hour. 2. Bring the 3 quarts of water to boil in a large pot. Add rice and cook for 10 minutes. 3. Meanwhile, grind 2 threads of saffron and melt 1 tablespoon of butter. Combine the two and whisk until the butter takes on a rich orange hue. 4. Drain rice well. 5. Coat the bottom of the pot with the butter-saffron mixture, making sure to coat 1 inch up along the side of the pot. 6. Return rice to pot, forming a pyramid shape where the rice only touches at the bottom of the pot. 7. Cover the pot with a tight fitting lid and a few paper towels between the pot and lid (so the heat can't escape). 8. Cook on medium-low for 20 minutes. 9. Remove lid and scoop out rice into a bowl (leaving the crust untouched). Allow the crispy rice to cook until it is firm but not hard. 10. Meanwhile, melt the remaining butter and ground saffron, creating the same mixture you made in step earlier. Add in 1 cup of cooked rice and stir well until the rice takes on the deep yellow coloring of the saffron. 11. Top your white basmati rice with the yellow saffron rice. 12. When the crispy rice is ready, dip the bottom of the pot into cold water (in your sink will do). This will allow the crispy crust to separate from the pot quickly. 13. Tip the pot over into a large dish. Serve with or without your fluffy rice.","To Make a new Dish: Preheat oven to 400°. Roll with each end of the twine and cut over each. Add Rice, cooking for about an hour before cutting and cooking until browned, about 5 minutes. Beat until just combined. When ready to serve, stir the Rice mixture all over the rice, and spooning them evenly over rice, toasted and evenly coated, about 1 hour until each tooth is completely coated.",finetuned_top_p
36,Grits Casserole,"1 c. grits 1 stick butter 1 pkg. garlic cheese or 8 oz. sharp Cheddar and 1 tsp. garlic powder or jalapeno cheese 2 eggs, beaten 3/4 c. milk","Cook grits in 4 1/2 cups salted water. When done, add butter, cheese, eggs and milk. Stir until melted. Pour into greased casserole and sprinkle buttered bread crumbs on top. Bake 45 minutes or until center is done in a 350° oven.","Mix ingredients. Stir well. Put on a waxed paper towels, cover and bake at 350 degrees for 10 minutes. Cool for 15 minutes.",finetuned_top_p
37,Maple Walnuts,1-1/4 t sugar 1/4 t salt 1 T butter 1 T maple syrup 1 c coarsely chopped walnuts,"Preheat oven to 375. Stir sugar and salt in a small bowl; set aside. Put butter and maple syrup into a large saute pan. Bring to a boil. Remove from heat. Add nuts; toss to coat. Transfer nuts to a rimmed baking sheet. Sprinkle with the sugar mixture; toss to coat. Toast in oven until fragrant, about 7 minutes. Let nuts cool completely on sheet ona wire rack. Consider serving with pears and gorgonzola dolce (or dolcelatte).","Beat butter, maple syrup and salt in a large bowl until pale, about 1 to 2 minutes. Add walnuts, walnuts halves, walnut flakes and sugar. Simmer for 3 to 5 minutes in warm water.",finetuned_top_p
38,Blueberry Lemon Mousse Tart,"1 23 cups graham cracker crumbs (9 to 10 whole crackers) 13 cup quick-cooking rolled oats 3 tablespoons firmly packed brown sugar 5 tablespoons butter, melted 1 12 cups heavy cream, divided 3 tablespoons sugar, divided 14 teaspoon lemon extract 1 (8 ounce) package cream cheese, softened 3 tablespoons boiling water 2 teaspoons unflavored gelatin (1 envelope) 1 (12 ounce) jar Smucker's Orchard's Finest Northwoods Blueberry Preserves, divided 34 cup fresh blueberries","COMBINE cracker crumbs, oats and brown sugar in medium bowl. Stir in melted butter with a fork until evenly moistened. Press into 8-inch springform pan. BEAT 1 cup heavy cream until stiff peaks form. Beat in 2 tablespoons sugar and lemon extract. Place cream cheese on microwave-safe plate. Mircowave on HIGH 15 to 20 seconds or until very soft. Add to whipped cream, beating until smooth. Pour boiling water over gelatine in small bowl. Stir about 2 minutes or until gelatine is completely dissolved. Beat into cream cheese mixture until blended. Stir in 3/4 cup preserves. Spread over crumb crust. Chill 2 hours or overnight. BEAT remaining 1/2 cup heavy cream until stiff peaks form. Beat in 1 tablespoon sugar. Place in resealable plastic bag. Cut small corner off bag. Remove outer rim of pan. Place dollops of whipped cream around outside edge of cheesecake. Stir remaining preserves with fresh blueberries in small bowl. Spoon evenly in center of cheesecake.","Cook to desired brown sugar, melt oil in a large non-stick pan. In medium bowl, mix cream cheese and whipping cream in large bowl. Fold oats into two rounds. Set aside to cool. In large bowl, beat butter, cream, and sugar until well blended. Add orange zest, vanilla extract, and salt. Beat to combine. Add cream cheese mixture to the egg mixture in pan and mix gently to make thick paste. Let rise until crust is kneaded smooth and peaks form. When pie comes out of crust, remove and set aside to rest for 30 minutes.",finetuned_top_p
39,Bbq Bacon Burgers,"1/4 cup mayonnaise 1/4 cup barbecue sauce 4 bacon strips, cooked and crumbled 1-1/2 teaspoons dried minced onion 1-1/2 teaspoons steak seasoning 1 pound ground beef 4 slices Swiss cheese 4 hamburger buns, split Lettuce leaves and tomato slices","In a small bowl, combine mayonnaise and barbecue sauce. In another bowl, combine the bacon, 2 tablespoons mayonnaise mixture, onion and steak seasoning; crumble beef over mixture and mix well. Shape into four patties. Grill burgers, covered, over medium heat for 5-7 minutes on each side or until a thermometer reads 160° and juices run clear. Top with cheese. Cover and cook 1-2 minutes longer or until cheese is melted. Spread remaining mayonnaise mixture over cut sides of bun bottoms. Layer with a lettuce, burger and tomato. Replace tops.","In a large saucepan combine bacon, barbecue sauce, and onion. Stir in bacon strips and ham, sliced into 6-inch casserole dish. Place burger in pan and cook over high heat for 1 minute or until browned. Sprinkle with mustard and serve.",finetuned_top_p
40,Watermelon Salad With Kumquat Dressing,"1 cup water 12 cup sugar 1 tablespoon fresh ginger, finely chopped 4 kumquats 14 cup sour cream 2 bunches arugula, stemmed 1 tablespoon extra virgin olive oil 1 tablespoon fresh lemon juice 2 cups watermelon, seeded and balled 2 cups yellow watermelon, seeded and balled","Combine the water, sugar and ginger in a saucepan and bring to a boil over high heat. Add the kumquats and boil until tender, about 5 minutes. Remove the pan from the heat, remove and reserve the kumquats from the syrup with a slotted spoon. Let cool completely. Cut the kumquats in half and remove the seeds. Finely chop the kumquats. Whisk enough of the kumquat syrup (2 to 3 tablespoons) into the sour cream to obtain a pourable sauce. Whisk in kumquats and salt and pepper to taste. (You probably won't need all of the kumquat). Toss the arugula with the olive oil, lemon juice, and salt and pepper to taste. Mound the arugula in the center of 4 salad plates. Arrange the melon balls around the arugula, alternating red and yellow. Drizzle the kumquat cream over the melons and greens and serve at once.","Wash, drain, and blanch and cool to room temperature. Wash and thaw for 8-12 hours in a 2 quart casserole dish. Combine all ingredients except yogurt in a large bowl. Microwave and add kale and figs. Add soup ingredients and marinade. Place casseroles on wire rack. Lay casserola in rack and sprinkle with sour cream. Sprinkle salad greens on top.",finetuned_top_p
41,Chicken Or Turkey Caruso,"4 c. chicken broth 8 oz. uncooked elbow macaroni 2 slices bacon, cut up 1/4 c. chopped green pepper 1/3 c. chopped onion 2 c. cut up cooked turkey 8 oz. shredded American cheese 1/4 c. chopped pimiento 10 oz. frozen green peas, cooked and drained 3 Tbsp. sherry","In saucepan, heat chicken broth to boiling; add macaroni. Cook 10 minutes or until tender. Do not drain. In large skillet, fry bacon until crisp. Add green pepper and onion. Cook and stir until onion is tender; drain off excess fat. Stir in macaroni-broth mixture and remaining ingredients. Heat through. Makes 6 to 8 servings. Excellent for leftover turkey.",Add macaronimi to broth. Cover lid and cook on low for 2-3 hours. Taste meat from bone broth. Sprinkle with black pepper. Reduce heat to medium and simmer for 10 minutes.,finetuned_top_p
42,Creamy Potato Sticks,1/4 c. flour 1/2 tsp. salt 1 1/2 c. milk 1 can cream of celery soup 1/2 lb. cubed American cheese 5 or 6 peeled baking potatoes 1 c. chopped onion paprika,"In saucepan, combine flour and salt. Gradually whisk in milk until smooth. Bring to boil. Cook 2 minutes. Remove from heat. Whisk in soup and cheese until smooth. Set aside. Cut potatoes into 4 x 1/2-inch sticks. Place in greased 13 x 9-inch pan. Sprinkle with onion. Top with cheese sauce. Bake, uncovered, at 350° for 55 to 60 minutes until tender. Sprinkle with paprika.","Mix flour, salt, milk and onion. Gently stir into the pan. Cover. Bake at 350 for 30 minutes or until softened.",finetuned_top_p
43,Lettuce And Egg Salad,2 heads red leaf lettuce 3 hard-boiled eggs 3 ounces olive oil 1 1/2 ounces fresh lemon juice 2 tablespoons chopped onions 1 tablespoon chopped dill salt pepper,"Clean any yellow leaves from the lettuce. Wash the lettuce very well and cut in pieces. Drain well. Chop the onion and dill. Peel the eggs and cut in medium size pieces (6 pieces to an egg), cutting 1 egg in round slices. Mix the lettuce, eggs, onion and dill in a glass bowl. Lay the egg slices on top. Whisk together oil and lemon juice. Drizzle over salad. Salt and pepper to taste.",Drain the onions and add to the salad. Drizzle with olive oil. Layer a floured pie crust over the lettuce. Toast until lightly golden brown. Garnish with an egg and lemon juice.,finetuned_top_p
44,Diabetic Shortbread,1/2 lb butter 1/2 cup sugar 1/2 cup rice flour 1 3/4 cups flour,"Cream butter with sugar in mixing bowl til soft and fluffy. Stir in rice flour and all purpose flour until blended. Roll on lightly floured board. Cut into 1 1/2"" rounds. Place on ungreased cookie sheets. Prick with a fork (to form design if desired). Bake 325F 25 mins til golden.",Combine all ingredients except sugar. Mix thoroughly and stir in flour. Let cool for at least 4 hours. Place bakes in mold 10 to 15 hours at 350°. Remove from pan. Spread with filling.,finetuned_top_p
45,Gluten Free Holiday Rum Balls,"2 cups gluten-free vanilla shortbread, crumbs (Just whirl the Gluten Free shortbread around in your food processor until it is reduced to fine crum) 3 cups powdered sugar (you may need more) 1 cup walnuts, reduced to crumbs in the food processor 1/2 cup almonds, reduced to crumbs in the food processor 1/4 cup good quality unsweetened cocoa powder 1/4 cup good quality dark rum 1/2 cup semi-sweet chocolate chips 1/3 cup canned milk 2 teaspoons rum extract powdered sugar, for rolling the rum balls","Melt semisweet chips along with canned milk in the microwave on low-med or setting 5 for approximately 45 seconds or until chips can be gently stirred into the milk. set aside. Mix all the dry ingredients together well. add the rum a little at a time until everything makes a stiff dough. You may need more rum, just add until it's the right consistency. Like play dough. Add melted chocolate mixture and rum extract and mix well. Rum Ball dough should be stiff yet pliable. Roll into teaspoon sized balls and coat with powdered sugar. put into small papers and store covered in the fridge for at least 3 days to let flavors mellow, then just before serving, roll in more powdered sugar. These freeze well. Just freeze on a cookie sheet and store in a freezer bag for up to 4 weeks.",Let cool. Chill at least 12 hours. Mix chocolate chips and rum in a small bowl and spoon on the dough to coat. Sprinkle on a lightly greased cookie sheet. Bake in a preheated 375° oven for 25 minutes or until lightly golden brown. Cool completely and store in a cool container.,finetuned_top_p
46,Grandma Ruth'S Stuffing,"2 tablespoons olive oil 1 pound sliced fresh mushrooms 3 stalks celery, diced 2 onions, chopped 1 (20 ounce) loaf French or Italian bread, cut into 1 inch cubes 1 (16 ounce) package herb-seasoned stuffing mix 4 eggs, beaten 2 (14 ounce) cans chicken broth 2 teaspoons rubbed sage 2 teaspoons dried thyme 2 tablespoons garlic powder salt and pepper to taste","Heat oil in a large skillet over medium heat. Saute the mushrooms, celery, and onions until softened. Dampen the fresh bread cubes (not the stuffing mix), then squeeze out any excess water. In a large bowl, combine the mushroom mixture, bread cubes, stuffing mix, eggs, and 1 can chicken broth. Season with sage, thyme, garlic powder, salt, and pepper, and mix well. The stuffing should have a rather paste-like consistency. Mix in additional chicken broth as necessary. Loosely pack stuffing inside turkey cavity before roasting.","In a heavy skillet, heat olive oil over medium high heat. Meanwhile, combine mushrooms, onion, celery and mushrooms. Stir fry until mushrooms are browned and leaves are tender, about 15 seconds. Add the broth and cook for 8 minutes, stirring occasionally. Add reserved broth and bring to a boil. Reduce heat to medium and simmer for 2 minutes, or until vegetables are soft and is wilted. Stir in the broth mixture, sage and garlic. Stir into bread mix. Sprinkle the stuffing mixture over top of chicken.",finetuned_top_p
47,Hot Clam Dip,"1 can minced clams, mostly drained 1 1/2 pkg. Ritz crackers, crushed 1/2 c. butter 1 small onion, chopped fine squeeze of lemon",Mix all ingredients together. Put in ovenproof serving dish. Bake at 350° for 1/2 hour. Serve with party crackers (Wheat Thins are great!). Enjoy!,"Add onion, lemon, and butter to a blender. Blend until creamy. Place over beaten egg. Mix well, shaking occasionally and scraping down surface. Refrigerate.",finetuned_top_p
48,Eggnog Pound Cake,1 c. butter or margarine 1/2 c. shortening 3 c. sugar 6 eggs 3 c. flour 1 c. eggnog 1 tsp. lemon flavoring 1 tsp. vanilla 1/2 tsp. coconut flavoring,Cream butter and shortening. Gradually add sugar. Beat well. Add eggs beating after each addition. Add flour to creamed mixture alternately with eggnog mix until blended. Stir in flavorings. Pour into a greased Bundt cake pan. Bake at 325° for 1 1/2 hours or until a wooden pick inserted in center comes out clean. Cool in pan 10 minutes. Remove. One cup of chopped pecans or walnuts can be added if desired.,"Mix butter, margarine and sugar in saucepan until smooth. Cover and cook on low for 45 minutes. Add eggnogs and cook for 5 minutes. Remove eggs and shake on low to remove any browning. Sprinkle with lemon flavoration, but please do not over batter.",finetuned_top_p
49,sugar paste,3 cup sugar 1/2 cup starch 1/2 cup corn syrup 2 tbsp water 1 food colour,add all ingredients together to form a paste sprinkke the table and everything the paste touches with starch so it doesn't stick colour it and perform with it any shape you want. use it to decorate cakes,Prepare as per the directions in the packet instructions for sugar. Make sure the cake comes out after each layer has been prepared. Pour the starch in warm water and slowly stir to mix it. Refrigerate until first layer is fully cooked.,finetuned_top_p
